name,club,position,price_current,availibility_status,availibility_last_changed,availibility_percentage,price_last_changed,price_change_amount
Dickson-Peters,NOR,FWD,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1094,0
Walcott,SOU,MID,5.8,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1095,-0.2
Forster,SOU,GKP,4.4,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1096,-0.1
McCarthy,SOU,GKP,4.5,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1097,0
Romeu,SOU,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1098,0
Redmond,SOU,MID,5.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1099,-0.1
Stephens,SOU,DEF,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1100,-0.1
S.Armstrong,SOU,MID,5.8,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1101,-0.2
Ward-Prowse,SOU,MID,6.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1102,-0.2
Walker-Peters,SOU,DEF,4.8,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1103,-0.2
Bednarek,SOU,DEF,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1104,-0.1
Nlundulu,SOU,FWD,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1105,0
Adams,SOU,FWD,6.8,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1106,-0.2
Tella,SOU,MID,4.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1107,0.2
Smallbone,SOU,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1108,0
Obafemi,SOU,FWD,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1109,0
Diallo,SOU,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1110,0
Djenepo,SOU,MID,5.2,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1111,0.2
Salisu,SOU,DEF,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1112,0
Perraud,SOU,DEF,4.8,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1113,-0.2
Livramento,SOU,DEF,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1114,-0.1
Elyounoussi,SOU,MID,5.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1115,-0.1
Broja,SOU,FWD,5.1,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1116,0.1
Long,SOU,FWD,5.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1117,-0.1
A.Armstrong,SOU,FWD,5.8,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1118,-0.2
Valery,SOU,DEF,3.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1119,-0.1
Lyanco,SOU,DEF,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1120,-0.1
Lewis,SOU,GKP,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1121,0
Caballero,SOU,GKP,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1122,0
Hart,TOT,GKP,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1123,0
Lloris,TOT,GKP,5.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1124,-0.1
Alderweireld,TOT,DEF,5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1125,0
Lamela,TOT,MID,6,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1126,0
Kane,TOT,FWD,12.1,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1127,0.1
Aurier,TOT,DEF,4.9,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1128,-0.1
Son,TOT,MID,10.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1129,-0.2
Doherty,TOT,DEF,4.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1130,0.2
Dier,TOT,DEF,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1131,0
Lucas Moura,TOT,MID,6.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1132,-0.1
Dele,TOT,MID,6.2,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1133,0.2
Davies,TOT,DEF,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1134,0
Højbjerg,TOT,MID,5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1135,0
Winks,TOT,MID,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1136,-0.1
Sánchez,TOT,DEF,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1137,0
Sessegnon,TOT,DEF,4.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1138,-0.2
Bergwijn,TOT,MID,5.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1139,-0.1
Reguilón,TOT,DEF,5.2,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1140,0.2
Tanganga,TOT,DEF,4.2,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1141,0.2
Lo Celso,TOT,MID,5.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1142,-0.1
Skipp,TOT,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1143,0
Rodon,TOT,DEF,4.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1144,-0.2
Ndombele,TOT,MID,5.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1145,0.2
Gollini,TOT,GKP,4.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1146,-0.2
Bryan,TOT,MID,5.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1147,0.2
Romero,TOT,DEF,4.9,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1148,-0.1
Scarlett,TOT,FWD,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1149,0
Emerson Royal,TOT,DEF,4.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1150,-0.1
Markanday,TOT,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1151,0
Omole,TOT,DEF,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1152,0
Austin,TOT,GKP,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1153,0
Sissoko,WAT,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1154,0
Foster,WAT,GKP,4.1,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1155,0.1
Rose,WAT,DEF,4.2,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1156,0.2
Gosling,WAT,MID,4.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1157,0.2
Cathcart,WAT,DEF,4.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1158,-0.2
Deeney,WAT,FWD,5.4,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1159,-0.1
Cleverley,WAT,MID,4.8,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1160,-0.2
Femenía,WAT,DEF,4.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1161,-0.2
Gray,WAT,FWD,5.4,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1162,-0.1
Kabasele,WAT,DEF,4.3,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1163,-0.2
Chalobah,WAT,MID,5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1164,0
Troost-Ekong,WAT,DEF,4.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1165,-0.2
Perica,WAT,FWD,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1166,0
Bachmann,WAT,GKP,4.2,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1167,0.2
Masina,WAT,DEF,4.3,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+1168,-0.2
Sema,WAT,MID,5.2,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1169,0.2
Zinckernagel,WAT,MID,5.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1170,0
Success,WAT,FWD,5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1171,0
Dele-Bashiru,WAT,MID,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1172,0
Fletcher,WAT,FWD,4.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1173,-0.1
Sierralta,WAT,DEF,4.3,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+1174,-0.2
Quina,WAT,MID,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1175,0
Navarro,WAT,DEF,4,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1176,0
Sarr,WAT,MID,5.8,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1177,-0.2
Ngakia,WAT,DEF,4.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1178,-0.2
Wilmot,WAT,DEF,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1179,0
Hungbo,WAT,MID,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1180,0
Louza,WAT,MID,5.2,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1181,0.2
João Pedro,WAT,FWD,5.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1182,-0.1
Baah,WAT,MID,4.4,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1183,-0.1
Dennis,WAT,FWD,6,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1184,0
Pollock,WAT,DEF,4,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1185,0
Etebo,WAT,MID,4.4,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1186,-0.1
King,WAT,FWD,5.8,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1187,-0.2
Mebude,WAT,FWD,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1188,0
Cucho,WAT,FWD,5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1189,0
Kucka,WAT,MID,5.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1190,0
Tufan,WAT,MID,5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1191,0
Elliot,WAT,GKP,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1192,0
Nkoulou,WAT,DEF,4.4,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1193,-0.1
Morris,WAT,DEF,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1194,0
Angelini,WAT,GKP,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1195,0
Zouma,WHU,DEF,5.4,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+1196,-0.1
Noble,WHU,MID,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1197,-0.1
Randolph,WHU,GKP,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1198,-0.1
Fabianski,WHU,GKP,5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1199,0
Ogbonna,WHU,DEF,4.9,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1200,-0.1
Reid,WHU,DEF,3.9,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1201,-0.1
Cresswell,WHU,DEF,5.3,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+1202,-0.2
Yarmolenko,WHU,MID,5.1,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1203,0.1
Antonio,WHU,FWD,7.8,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1204,-0.2
Dawson,WHU,DEF,4.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1205,-0.1
Fredericks,WHU,DEF,4.4,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+1206,-0.1
Lanzini,WHU,MID,5.8,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1207,-0.2
Masuaku,WHU,DEF,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1208,-0.1
Coufal,WHU,DEF,4.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1209,0.2
Benrahma,WHU,MID,5.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1210,-0.1
Bowen,WHU,MID,6.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1211,0
Rice,WHU,MID,5.1,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1212,0.1
Soucek,WHU,MID,5.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1213,0.2
Fornals,WHU,MID,6,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1214,0
Diop,WHU,DEF,4.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1215,-0.2
Johnson,WHU,DEF,4,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+1216,0
Areola,WHU,GKP,4.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1217,0.2
Alves,WHU,DEF,4,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1218,0
Coventry,WHU,MID,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1219,0
Baptiste,WHU,DEF,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1220,0
Vlasic,WHU,MID,5.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1221,0.2
Kral,WHU,MID,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1222,-0.1
Ashby,WHU,DEF,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1223,0
Perkins,WHU,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1224,0
Alese,WHU,DEF,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1225,0
Oko-Flex,WHU,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1226,0
Moutinho,WOL,MID,4.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1227,-0.1
Patrício,WOL,GKP,5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1228,0
Boly,WOL,DEF,4.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1229,-0.1
Coady,WOL,DEF,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1230,0
Jiménez,WOL,FWD,7.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1231,0
Saïss,WOL,DEF,5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1232,0
Marçal,WOL,DEF,4.2,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1233,0.2
Jonny,WOL,DEF,4.5,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1234,0
Dendoncker,WOL,MID,4.8,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1235,-0.2
Traoré,WOL,MID,5.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1236,0.2
Neves,WOL,MID,5.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1237,-0.2
Semedo,WOL,DEF,4.8,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1238,-0.2
Podence,WOL,MID,5.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1239,0
Kilman,WOL,DEF,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1240,0
Gibbs-White,WOL,MID,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1241,0
Neto,WOL,MID,6.4,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1242,-0.1
Otasowie,WOL,MID,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1243,0
Hoever,WOL,DEF,3.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1244,-0.1
Söndergaard,WOL,GKP,4,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1245,0
Fabio Silva,WOL,FWD,5.6,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+1246,0.1
Mosquera,WOL,DEF,4.4,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+1247,-0.1
Ruddy,WOL,GKP,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1248,-0.1
Trincão,WOL,MID,5.6,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1249,0.1
Ait Nouri,WOL,DEF,4.3,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+1250,-0.2
Sá,WOL,GKP,5.1,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1251,0.1
Cutrone,WOL,FWD,5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1252,0
Cundle,WOL,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1253,0
Campbell,WOL,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1254,0
Marques,WOL,DEF,4,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+1255,0
Hwang,WOL,FWD,5.5,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+1256,0
Moulden,WOL,GKP,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1257,0
Storer,WOL,GKP,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1258,0
Bueno,WOL,DEF,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1259,0
Jordão,WOL,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+1260,0
